freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.402e+02,7.115e+00,5.132e+00,4.524e+02
1.5,2.916e+02,2.272e+01,2.041e+01,3.348e+02
3.1,7.137e+01,2.291e+01,2.115e+01,1.154e+02
4.6,3.601e+02,2.428e+01,2.082e+01,4.052e+02
6.2,1.198e+03,2.438e+01,2.282e+01,1.245e+03
7.7,1.980e+03,2.490e+01,2.210e+01,2.027e+03
9.2,2.827e+03,2.367e+01,2.196e+01,2.873e+03
10.8,3.792e+03,2.435e+01,2.072e+01,3.837e+03
12.3,4.875e+03,2.419e+01,2.126e+01,4.920e+03
13.9,6.191e+03,2.401e+01,2.139e+01,6.237e+03
15.4,7.725e+03,2.386e+01,2.116e+01,7.770e+03
17.0,9.699e+03,2.777e+01,2.303e+01,9.750e+03
18.5,1.274e+04,2.986e+01,2.299e+01,1.279e+04
20.0,1.641e+04,3.187e+01,2.277e+01,1.647e+04
21.6,1.908e+04,3.397e+01,2.452e+01,1.914e+04
23.1,2.133e+04,3.828e+01,2.561e+01,2.139e+04
24.7,2.531e+04,3.927e+01,2.629e+01,2.538e+04
26.2,3.075e+04,4.188e+01,3.404e+01,3.082e+04
27.7,3.723e+04,4.897e+01,4.385e+01,3.732e+04
29.3,4.544e+04,6.426e+01,6.155e+01,4.557e+04
30.8,5.303e+04,9.296e+01,1.050e+02,5.322e+04
32.4,5.124e+04,1.234e+02,1.494e+02,5.151e+04
33.9,4.613e+04,1.353e+02,1.760e+02,4.644e+04
35.5,4.859e+04,1.191e+02,3.023e+02,4.901e+04
37.0,5.655e+04,9.541e+01,4.782e+02,5.712e+04
38.5,6.829e+04,1.054e+02,4.590e+02,6.885e+04
40.1,8.147e+04,1.459e+02,2.964e+02,8.191e+04
41.6,9.960e+04,1.999e+02,1.890e+02,9.998e+04
43.2,1.205e+05,2.472e+02,1.820e+02,1.210e+05
44.7,1.481e+05,2.839e+02,1.802e+02,1.485e+05
46.2,1.921e+05,3.531e+02,1.914e+02,1.927e+05
47.8,2.540e+05,5.153e+02,2.464e+02,2.548e+05
49.3,3.393e+05,7.393e+02,2.928e+02,3.404e+05
50.9,4.883e+05,1.198e+03,2.891e+02,4.898e+05
52.4,7.838e+05,2.158e+03,3.204e+02,7.863e+05
53.9,1.264e+06,4.036e+03,3.922e+02,1.269e+06
55.5,1.996e+06,7.535e+03,5.929e+02,2.005e+06
57.0,2.350e+06,8.926e+03,8.232e+02,2.360e+06
58.6,2.059e+06,7.342e+03,1.332e+03,2.068e+06
60.1,1.620e+06,4.143e+03,2.490e+03,1.627e+06
61.7,1.240e+06,2.394e+03,4.016e+03,1.246e+06
63.2,9.686e+05,3.790e+03,4.813e+03,9.772e+05
64.7,7.680e+05,4.795e+03,3.232e+03,7.760e+05
66.3,5.900e+05,4.641e+03,1.791e+03,5.964e+05
67.8,4.369e+05,3.876e+03,1.364e+03,4.422e+05
69.4,3.318e+05,2.877e+03,1.180e+03,3.359e+05
70.9,2.545e+05,2.494e+03,1.374e+03,2.583e+05
72.4,1.969e+05,3.034e+03,1.610e+03,2.016e+05
74.0,1.558e+05,3.479e+03,1.497e+03,1.608e+05
75.5,1.271e+05,2.535e+03,9.163e+02,1.306e+05
77.1,1.060e+05,2.058e+03,4.718e+02,1.085e+05
78.6,7.746e+04,2.052e+03,2.510e+02,7.976e+04
80.2,5.391e+04,1.903e+03,1.503e+02,5.596e+04
81.7,3.753e+04,1.627e+03,1.585e+02,3.931e+04
83.2,2.543e+04,1.352e+03,2.047e+02,2.699e+04
84.8,1.712e+04,9.941e+02,3.078e+02,1.842e+04
86.3,1.124e+04,6.601e+02,4.406e+02,1.234e+04
87.9,8.401e+03,4.305e+02,6.345e+02,9.466e+03
89.4,1.348e+04,2.430e+02,9.517e+02,1.467e+04
90.9,4.792e+04,1.284e+02,1.538e+03,4.958e+04
92.5,8.995e+04,1.834e+02,2.405e+03,9.254e+04
94.0,8.511e+04,5.278e+02,2.297e+03,8.794e+04
95.6,9.523e+04,1.753e+03,2.294e+03,9.928e+04
97.1,1.153e+05,1.705e+03,2.467e+03,1.194e+05
98.6,1.336e+05,7.871e+02,3.005e+03,1.374e+05
100.2,1.360e+05,6.456e+02,3.433e+03,1.401e+05
