freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.497e+00,3.156e+02,3.069e+01,3.558e+02
1.6,4.820e+01,1.894e+02,3.266e+01,2.703e+02
3.1,5.618e+01,3.644e+01,2.116e+01,1.138e+02
4.7,5.728e+01,3.944e+02,2.060e+01,4.723e+02
6.2,5.881e+01,1.369e+03,2.083e+01,1.448e+03
7.8,6.234e+01,2.299e+03,2.069e+01,2.382e+03
9.3,5.888e+01,3.380e+03,2.199e+01,3.461e+03
10.9,5.927e+01,4.791e+03,2.191e+01,4.873e+03
12.4,6.471e+01,6.616e+03,2.266e+01,6.703e+03
14.0,6.497e+01,8.929e+03,2.263e+01,9.017e+03
15.5,6.024e+01,1.188e+04,2.733e+01,1.196e+04
17.1,6.328e+01,1.589e+04,3.455e+01,1.598e+04
18.6,6.602e+01,2.116e+04,5.182e+01,2.128e+04
20.2,6.889e+01,2.746e+04,9.837e+01,2.763e+04
21.7,7.420e+01,3.414e+04,2.055e+02,3.442e+04
23.3,7.282e+01,3.584e+04,3.060e+02,3.621e+04
24.8,8.263e+01,3.857e+04,2.179e+02,3.887e+04
26.4,1.186e+02,5.336e+04,1.163e+02,5.359e+04
28.0,1.966e+02,7.866e+04,6.095e+01,7.892e+04
29.5,2.707e+02,1.067e+05,4.542e+01,1.070e+05
31.1,2.972e+02,1.374e+05,5.008e+01,1.377e+05
32.6,2.349e+02,1.514e+05,1.104e+02,1.517e+05
34.2,1.439e+02,1.625e+05,2.228e+02,1.629e+05
35.7,1.754e+02,2.142e+05,3.553e+02,2.147e+05
37.3,2.513e+02,3.533e+05,1.110e+03,3.546e+05
38.8,3.706e+02,5.384e+05,2.688e+03,5.415e+05
40.4,4.559e+02,5.821e+05,5.978e+03,5.885e+05
41.9,3.398e+02,4.947e+05,1.253e+04,5.076e+05
43.5,1.771e+02,3.895e+05,1.769e+04,4.074e+05
45.0,1.389e+02,3.054e+05,1.827e+04,3.238e+05
46.6,1.191e+02,2.313e+05,1.725e+04,2.487e+05
48.1,1.226e+02,1.725e+05,1.642e+04,1.890e+05
49.7,1.196e+02,1.273e+05,1.597e+04,1.434e+05
51.3,1.087e+02,9.786e+04,1.800e+04,1.160e+05
52.8,1.087e+02,7.776e+04,2.321e+04,1.011e+05
54.4,1.058e+02,5.725e+04,3.031e+04,8.766e+04
55.9,1.243e+02,3.807e+04,3.849e+04,7.668e+04
57.5,1.764e+02,2.331e+04,4.694e+04,7.043e+04
59.0,3.065e+02,1.864e+04,6.371e+04,8.266e+04
60.6,4.258e+02,2.956e+04,8.846e+04,1.184e+05
62.1,2.735e+02,7.175e+04,1.223e+05,1.944e+05
63.7,2.257e+02,1.392e+05,1.458e+05,2.852e+05
65.2,4.424e+02,1.751e+05,1.328e+05,3.084e+05
66.8,6.004e+02,1.604e+05,9.835e+04,2.593e+05
68.3,9.461e+02,1.325e+05,6.788e+04,2.013e+05
69.9,1.510e+03,1.146e+05,4.997e+04,1.660e+05
71.4,8.642e+02,1.088e+05,4.192e+04,1.516e+05
